ID,Champion,Win Rate
145,Xayah,X X X 0.5062 X
146,Xerath,X X 0.4908 0.50 0.4744
147,Xin Zhao,X 0.5023 X X X
148,Yasuo,0.5337 X 0.5057 0.5527 X
149,Yone,0.5508 X 0.4936 0.5517 X
150,Yorick,0.4725 X X X X
151,Yuumi,X X X X 0.4742
152,Zac,X 0.5187 X X X
153,Zed,0.5118 0.4828 0.5073 0.4667 X
154,Zeri,X X X 0.4768 X
155,Ziggs,X X 0.4026 0.5428 0.3333
156,Zilean,X X 0.5669 X 0.4906
157,Zoe,X X 0.555 X X
158,Zyra,X X X X 0.5249
